Influencer,videoName,audio_text,cluster_label,umap_1,umap_2
0_shufen,0_shufen-20250305064036-1430336078496526,"(1) A soft female voice begins speaking in Mandarin with a weary and slightly high-pitched tone, conveying exhaustion. No background music is present. (2) The voice continues at a slow pace, with natural pauses for breath, maintaining the same volume and tone as she narrates a personal encounter. (3) The audio remains focused solely on the vocal narration with minimal ambient room noise until the end.",3,8.634668,2.2492547
0_shufen,0_shufen-20250305064036-766487259340008,"(1) A female voice speaks in Mandarin with a clear, conversational, and slightly humorous tone. (2) There is no background music during the speech. (3) A short, high-pitched laugh sound effect (SFX) plays at the very end of the video as the punchline is delivered.",3,9.029581,1.6081862
0_shufen,0_shufen-20250428071951-1947389076163325,"(1) An upbeat pop song with female vocals and electronic beats starts immediately at the beginning of the video. (2) The music continues as the primary audio source with no audible speech from the person on screen. (3) The track maintains its tempo and volume until the video ends, with ambient airport noise completely suppressed by the background music.",1,10.58394,-1.6684734
0_shufen,0_shufen-20250705165729-1393655405202276,"(1) Soft, melancholic piano music plays as a young woman begins speaking in a conversational, somewhat complaining tone. (2) The woman continues her narrative over the steady, gentle piano background. (3) Just as she finishes her last sentence, the piano music stops and is immediately replaced by a loud, sudden sitcom-style laugh track sound effect. (4) Silence follows the laugh track.",0,11.39887,-0.007140018
0_shufen,0_shufen-20250724205248-907783428386427,"(1) The audio begins with an upbeat, high-tempo hip-hop track featuring heavy bass. (2) A female vocal raps the lyrics 'I like my beats fast and my bass down low' in a confident, rhythmic tone. (3) Subtle ambient sounds of rainfall and distant city traffic are present in the background but are largely masked by the loud music track. No live speech is detected.",1,10.652628,-1.6020681
0_shufen,0_shufen-20250727225336-1259903872723856,"(1) Upbeat, acoustic guitar-driven music begins immediately. A young female voice-over starts by saying she regrets something in a slightly dramatic tone. (2) As she narrates her experience of being hungry in Tamsui, the music continues at a steady, happy pace. (3) Subtle ambient sounds of the riverside (wind and water) are blended with the music. (4) When food is shown, the vocal tone becomes more excited and appreciative. (5) The music stays consistent until the end of the video as her narration concludes with a recommendation about the sunset view.",2,10.136088,7.6477847
0_shufen,0_shufen-20250828175421-870861292486670,"(1) Upbeat, tropical-infused electronic pop music starts immediately. (2) No vocals are detected throughout the clip. (3) Faint ambient outdoor sounds are present but largely masked by the high-tempo background music.",1,11.271189,-2.0596764
0_shufen,0_shufen-20250829032918-2798472257172872,"(1) A male voice speaks in Mandarin with a friendly tone, asking the woman if she is Taiwanese, accompanied by muffled city ambient noise. (2) The woman responds in Mandarin with a curious, slightly defensive tone. (3) The male voice explains he is sad and asks for comfort in the Taiwanese Hokkien dialect. (4) The woman speaks a short phrase in Hokkien followed by a playful slang remark as an upbeat, rhythmic electronic BGM starts abruptly to emphasize the punchline.",4,10.725066,2.4693108
0_shufen,0_shufen-20250830020541-1422213052618873,"(1) An upbeat Chinese pop song with a steady electronic beat plays. A young female voice says 'Jiè sè dì yī tiān' (Day 1 of abstinence) in a clear, healthy tone. (2) The music continues as the same female voice says 'Jiè sè dì èr tiān' (Day 2), sounding noticeably more fatigued and breathless. (3) The voice says 'Jiè sè dì sān tiān' (Day 3), sounding extremely weak, thin, and hoarse. (4) The music remains upbeat as the voice returns to an energetic and loud tone, saying 'Jiè sè dì yī tiān' (Day 1) again.",3,9.505767,2.4377198
0_shufen,0_shufen-20250830204134-1142487931145066,"(1) A female voice speaks in Mandarin Chinese with a soft, expressive, and slightly playful tone. No background music is playing initially. (2) A short thinking sound effect (""Hmm?"") occurs mid-sentence. (3) The vocal track continues until the end, where a sound effect of a group of people laughing loudly plays as the video fades out.",3,9.124764,1.8869177
0_shufen,0_shufen-20250831081007-903878472291382,"(1) A female voice exclaims a sharp, annoyed word followed immediately by a whimsical cartoon 'boing' sound effect. (2) The same female voice continues with a narrative explanation in a conversational, slightly high-pitched and ranting tone; no background music is present. (3) Upon finishing her sentence, a sound effect of a crowd laughing and cheering plays as the audio ends.",0,11.929483,0.114902705
0_shufen,0_shufen-20250901133301-795960446842082,"(1) Upbeat, medium-tempo background music plays. A young woman's voice speaks Mandarin in a humorous and slightly complaining tone. (2) Faint ambient noise of a public space, likely a shop, can be heard underneath the voice and music. (3) The vocal track remains continuous throughout the clip until it ends.",3,8.784951,2.4187317
0_shufen,0_shufen-20250902190256-1774419209918701,(1) Upbeat electronic pop music with a steady bass beat starts immediately and plays throughout. No vocals are detected. (2) Faint ambient outdoor city hum is barely audible beneath the music track. (3) No sound effects or transitions are heard as the audio loops.,1,11.017572,-2.180761
0_shufen,0_shufen-20250903021645-1740247386951366,"(1) A female voice speaks in a soft, melodic tone with gentle background music playing. (2) The audio shifts to a cute, twinkling sound effect with a female voice speaking very softly and high-pitched. (3) The audio concludes with a sudden increase in volume as the woman exclaims loudly and uses an expletive in a sharp, shocked tone.",0,11.834309,0.055956073
0_shufen,0_shufen-20250903023435-2964603773749611,"(1) A soft, medium-pitched female voice speaks in a calm, somber tone accompanied by a slow, melancholic piano melody. (2) The piano music continues at a steady, slow pace as the female voice maintains its narrative cadence. (3) A sharp, high-pitched cartoonish 'spring' sound effect plays abruptly at the very end, coinciding with the silence of the speaker.",3,11.444888,0.022229781
0_shufen,0_shufen-20250903041712-1564497264617068,"(1) An upbeat, playful, and high-tempo electronic background music starts. A high-pitched female voice begins speaking in Mandarin with an excited and friendly tone. (2) The music remains consistent in volume as the female speaker continues her monologue, responding to fan questions. (3) Occasional cartoonish sound effects are heard coinciding with the appearance of text and graphics on screen. (4) The audio fades out with the music still playing at the same tempo as the woman finishes her sentence.",3,9.57569,2.5835607
0_shufen,0_shufen-20250903140356-1918596815532232,"(1) Upbeat, medium-tempo electronic pop music with a prominent synthesized bassline begins immediately. (2) A processed, high-pitched vocal sample repeats a rhythmic phrase in synchronization with the beat. (3) The music maintains a constant energy level and rhythm throughout the duration without any ambient hospital noise detected.",1,10.8038845,-2.1997252
0_shufen,0_shufen-20250903152847-2677577962592428,"(1) A young female voice speaks in Mandarin with a soft, conversational tone. There is slight indoor ambient noise. (2) The speaking continues as she delivers a setup. (3) As the punchline is delivered, a brief sound effect of a laughter track plays, and the audio ends.",3,8.904585,1.9933817
0_shufen,0_shufen-20250903171136-2160370448111769,"(1) A female voice speaks in Mandarin with a clear, engaging tone accompanied by upbeat, medium-tempo electronic background music. (2) Subtle sound effects like 'pops' or 'dings' coincide with text changes. (3) The vocal tone shifts to a mock-crying or exaggeratedly sad pitch towards the end, and the music transitions to a humorous, melancholic melody with a distinct 'laughing/crying' meme sound effect.",3,9.201475,2.0143793
0_shufen,0_shufen-20250904041023-4261504497398681,"(1) Upbeat pop music with a strong electronic beat and rhythmic bass starts immediately. A high-pitched, breathy female vocal sings lyrics in English. (2) The music continues with consistent energy and no variation in the soundscape; there is a total absence of ambient environment noise. (3) The track maintains its tempo and vocal presence until the end of the clip, finishing on a sustained musical note.",1,10.454048,-1.606104
0_shufen,0_shufen-20250904140410-1447376430235569,"(1) A female voice is heard coughing. No music is present. (2) The woman speaks in a soft, clear Mandarin voice with a calm tone. (3) The speaking transitions back into more coughing sounds and a very slight, muffled giggle at the end. Only ambient indoor silence is heard between the vocal sounds.",3,8.642377,2.075839
0_shufen,0_shufen-20250904152353-729899526658069,"(1) A female voice begins speaking in a high-pitched, energetic, and humorous tone in Mandarin, accompanied by a light, upbeat background music track. (2) The music maintains a consistent tempo while the speaker's voice rises in excitement during the climax of her story. (3) A subtle impact sound effect occurs when the punchline text appears, and the audio concludes with the speaker laughing and the music fading.",3,9.06315,1.8809007
0_shufen,0_shufen-20250904165738-1944821433052326,"(1) Ambient convenience store white noise is audible. A male voice asks in Mandarin, ""Ei, ni zai gan ma?"" (Hey, what are you doing?). (2) A female voice responds in a playful, calm tone in Mandarin, ""Wo zai bang bie ren zhi zao ji hui a"" (I am creating opportunities for others). (3) A mischievous, cartoon-style laugh sound effect (SFX) plays as the audio ends.",4,11.024639,2.7731903
0_shufen,0_shufen-20250904171517-1196888019196186,"(1) A female voice speaks in Mandarin with a clear, storytelling tone at a moderate pace. (2) The speaker changes her tone slightly to mimic a dialogue, adopting a more assertive, deeper voice for the quoted line. (3) A brief cartoonish 'boing' or 'confused' sound effect plays at the end as the speech stops.",3,8.949857,1.8757328
0_shufen,0_shufen-20250904190308-869130576000209,"(1) A female voice speaks in Mandarin with a clear, conversational, and slightly complaining tone. There is no background music. (2) The vocal energy increases slightly as she delivers the punchline of her story. (3) Only the main vocal and subtle ambient room noise are audible throughout the duration.",3,8.625908,2.0889676
